entry_time,exit_time,direction,contracts,position_size,entry_price,exit_price,stop_loss,take_profit,pnl_ticks,pnl_points,pnl_dollars,commission,slippage_cost,net_pnl,exit_reason,strategy_type
2022-06-24T09:45:00-04:00,2022-06-24T15:50:00-04:00,long,1,1.0,11960.5,12114.75,11838.5,12202.5,617.0,154.25,308.5,4.5,1.0,303.0,End of Day,
2022-06-27T09:45:00-04:00,2022-06-27T15:50:00-04:00,short,1,1.0,3900.25,3895.5,3931.75,3840.25,19.0,4.75,23.75,4.5,2.5,16.75,End of Day,
2022-06-27T09:45:00-04:00,2022-06-27T15:50:00-04:00,short,1,1.0,12046.25,12009.25,12213.5,11714.75,148.0,37.0,74.0,4.5,1.0,68.5,End of Day,
2022-06-28T10:05:00-04:00,2022-06-28T12:00:00-04:00,short,1,1.0,3918.0,3855.5,3950.75,3855.5,250.0,62.5,312.5,4.5,2.5,305.5,Take Profit,
2022-06-28T10:05:00-04:00,2022-06-28T11:55:00-04:00,short,1,1.0,12045.75,11791.75,12174.25,11791.75,1016.0,254.0,508.0,4.5,1.0,502.5,Take Profit,
2022-06-29T09:45:00-04:00,2022-06-29T09:50:00-04:00,short,1,1.0,11572.0,11690.5,11690.5,11338.0,-474.0,-118.5,-237.0,4.5,1.0,-242.5,Stop Loss,
2022-06-29T10:00:00-04:00,2022-06-29T12:25:00-04:00,long,1,1.0,3835.75,3803.75,3803.75,3897.75,-128.0,-32.0,-160.0,4.5,2.5,-167.0,Stop Loss,
2022-06-30T09:45:00-04:00,2022-06-30T11:25:00-04:00,short,1,1.0,11433.75,11588.0,11588.0,11128.25,-617.0,-154.25,-308.5,4.5,1.0,-314.0,Stop Loss,
2022-06-30T09:50:00-04:00,2022-06-30T11:25:00-04:00,short,1,1.0,3752.75,3786.0,3786.0,3689.25,-133.0,-33.25,-166.25,4.5,2.5,-173.25,Stop Loss,
2022-07-05T09:55:00-04:00,2022-07-05T12:20:00-04:00,short,1,1.0,3750.0,3778.75,3778.75,3695.5,-115.0,-28.75,-143.75,4.5,2.5,-150.75,Stop Loss,
2022-07-05T10:25:00-04:00,2022-07-05T12:20:00-04:00,long,1,1.0,11467.0,11621.5,11388.75,11621.5,618.0,154.5,309.0,4.5,1.0,303.5,Take Profit,
2022-07-06T09:45:00-04:00,2022-07-06T14:05:00-04:00,short,1,1.0,11765.0,11883.75,11883.75,11530.5,-475.0,-118.75,-237.5,4.5,1.0,-243.0,Stop Loss,
2022-07-07T09:45:00-04:00,2022-07-07T15:50:00-04:00,long,1,1.0,3889.5,3904.75,3866.5,3933.5,61.0,15.25,76.25,4.5,2.5,69.25,End of Day,
2022-07-07T09:45:00-04:00,2022-07-07T15:50:00-04:00,long,1,1.0,12024.0,12138.5,11918.25,12233.5,458.0,114.5,229.0,4.5,1.0,223.5,End of Day,
2022-07-08T09:50:00-04:00,2022-07-08T10:25:00-04:00,short,1,1.0,11986.25,12090.75,12090.75,11780.25,-418.0,-104.5,-209.0,4.5,1.0,-214.5,Stop Loss,
2022-07-11T09:45:00-04:00,2022-07-11T15:50:00-04:00,short,1,1.0,3855.0,3852.0,3883.75,3800.5,12.0,3.0,15.0,4.5,2.5,8.0,End of Day,
2022-07-11T09:45:00-04:00,2022-07-11T15:50:00-04:00,short,1,1.0,11888.75,11867.25,12062.5,11544.25,86.0,21.5,43.0,4.5,1.0,37.5,End of Day,
2022-07-12T10:05:00-04:00,2022-07-12T15:30:00-04:00,short,1,1.0,11927.0,11733.0,12025.5,11733.0,776.0,194.0,388.0,4.5,1.0,382.5,Take Profit,
2022-07-12T14:40:00-04:00,2022-07-12T15:50:00-04:00,short,1,1.0,3848.5,3823.75,3876.5,3795.5,99.0,24.75,123.75,4.5,2.5,116.75,End of Day,
2022-07-14T10:00:00-04:00,2022-07-14T11:20:00-04:00,short,1,1.0,3729.25,3757.5,3757.5,3675.75,-113.0,-28.25,-141.25,4.5,2.5,-148.25,Stop Loss,
2022-07-14T10:00:00-04:00,2022-07-14T11:40:00-04:00,short,1,1.0,11546.25,11684.25,11684.25,11273.25,-552.0,-138.0,-276.0,4.5,1.0,-281.5,Stop Loss,
2022-07-19T09:45:00-04:00,2022-07-19T10:25:00-04:00,short,1,1.0,11999.0,12080.75,12080.75,11838.5,-327.0,-81.75,-163.5,4.5,1.0,-169.0,Stop Loss,
2022-07-20T09:45:00-04:00,2022-07-20T11:35:00-04:00,long,1,1.0,12333.75,12487.25,12256.0,12487.25,614.0,153.5,307.0,4.5,1.0,301.5,Take Profit,
2022-07-21T09:55:00-04:00,2022-07-21T10:10:00-04:00,long,1,1.0,12514.25,12410.75,12410.75,12719.25,-414.0,-103.5,-207.0,4.5,1.0,-212.5,Stop Loss,
2022-07-22T09:45:00-04:00,2022-07-22T10:00:00-04:00,long,1,1.0,12650.0,12565.75,12565.75,12816.5,-337.0,-84.25,-168.5,4.5,1.0,-174.0,Stop Loss,
2022-07-22T09:50:00-04:00,2022-07-22T09:55:00-04:00,long,1,1.0,4013.75,3993.5,3993.5,4052.25,-81.0,-20.25,-101.25,4.5,2.5,-108.25,Stop Loss,
2022-07-25T10:05:00-04:00,2022-07-25T15:50:00-04:00,short,1,1.0,12355.5,12335.25,12444.25,12181.0,81.0,20.25,40.5,4.5,1.0,35.0,End of Day,
2022-07-25T10:25:00-04:00,2022-07-25T11:30:00-04:00,short,1,1.0,3952.75,3973.25,3973.25,3914.75,-82.0,-20.5,-102.5,4.5,2.5,-109.5,Stop Loss,
2022-07-26T09:45:00-04:00,2022-07-26T15:50:00-04:00,short,1,1.0,12215.0,12123.25,12291.25,12065.5,367.0,91.75,183.5,4.5,1.0,178.0,End of Day,
2022-07-27T09:45:00-04:00,2022-07-27T14:35:00-04:00,long,1,1.0,3969.75,3998.75,3954.25,3998.75,116.0,29.0,145.0,4.5,2.5,138.0,Take Profit,
2022-07-27T09:45:00-04:00,2022-07-27T14:40:00-04:00,long,1,1.0,12376.0,12573.5,12276.25,12573.5,790.0,197.5,395.0,4.5,1.0,389.5,Take Profit,
2022-07-28T09:45:00-04:00,2022-07-28T11:25:00-04:00,short,1,1.0,12513.25,12654.25,12654.25,12234.25,-564.0,-141.0,-282.0,4.5,1.0,-287.5,Stop Loss,
2022-07-29T09:45:00-04:00,2022-07-29T15:50:00-04:00,long,1,1.0,4103.0,4135.25,4081.0,4145.0,129.0,32.25,161.25,4.5,2.5,154.25,End of Day,
2022-07-29T09:45:00-04:00,2022-07-29T15:50:00-04:00,long,1,1.0,12865.75,12978.75,12744.25,13106.75,452.0,113.0,226.0,4.5,1.0,220.5,End of Day,
2022-08-01T09:45:00-04:00,2022-08-01T15:50:00-04:00,long,1,1.0,12964.75,12950.25,12851.25,13189.75,-58.0,-14.5,-29.0,4.5,1.0,-34.5,End of Day,
2022-08-02T09:45:00-04:00,2022-08-02T10:05:00-04:00,long,1,1.0,12944.0,12853.0,12853.0,13124.0,-364.0,-91.0,-182.0,4.5,1.0,-187.5,Stop Loss,
2022-08-03T09:50:00-04:00,2022-08-03T14:20:00-04:00,long,1,1.0,13091.0,13292.5,12989.25,13292.5,806.0,201.5,403.0,4.5,1.0,397.5,Take Profit,
2022-08-03T10:00:00-04:00,2022-08-03T14:20:00-04:00,long,1,1.0,4130.75,4165.25,4112.5,4165.25,138.0,34.5,172.5,4.5,2.5,165.5,Take Profit,
2022-08-05T10:10:00-04:00,2022-08-05T15:50:00-04:00,long,1,1.0,4131.5,4145.0,4107.0,4178.5,54.0,13.5,67.5,4.5,2.5,60.5,End of Day,
2022-08-05T10:15:00-04:00,2022-08-05T11:25:00-04:00,long,1,1.0,13212.25,13114.25,13114.25,13406.25,-392.0,-98.0,-196.0,4.5,1.0,-201.5,Stop Loss,
2022-08-08T09:45:00-04:00,2022-08-08T11:40:00-04:00,long,1,1.0,13377.0,13231.75,13231.75,13665.5,-581.0,-145.25,-290.5,4.5,1.0,-296.0,Stop Loss,
2022-08-08T09:50:00-04:00,2022-08-08T11:35:00-04:00,long,1,1.0,4184.5,4160.5,4160.5,4230.5,-96.0,-24.0,-120.0,4.5,2.5,-127.0,Stop Loss,
