sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
765,failed,42,23975.5,25000.0,1024.5,3,6
766,passed,39,26630.5,26630.5,362.5,5,3
767,failed,61,24701.5,25932.25,1230.75,8,3
768,failed,6,24601.5,25709.5,1108.0,2,4
769,failed,21,24592.75,25987.75,1395.0,3,5
770,failed,28,24021.0,25210.0,1189.0,4,10
771,failed,37,24600.5,25683.75,1083.25,5,4
772,failed,25,24062.75,25090.5,1027.75,2,14
773,failed,28,24362.25,25388.75,1026.5,4,4
774,passed,51,26603.25,26603.25,799.5,3,3
775,failed,17,24048.0,25254.0,1206.0,2,5
776,passed,19,26528.25,26528.25,180.0,3,2
777,passed,11,26577.0,26577.0,687.75,4,2
778,failed,20,24781.75,26176.75,1395.0,5,5
779,passed,37,26501.25,26501.25,802.0,4,5
780,failed,25,24556.75,25697.5,1140.75,5,6
781,passed,5,26739.5,26739.5,164.5,2,1
782,passed,149,26699.75,26699.75,962.5,6,8
783,passed,31,26533.0,26533.0,472.5,5,3
784,passed,20,26552.0,26552.0,183.75,6,6
785,passed,57,26590.0,26590.0,589.25,4,6
786,failed,38,24761.5,25808.0,1046.5,2,7
787,passed,24,26662.5,26662.5,495.5,4,3
788,failed,31,24427.75,25484.0,1056.25,2,14
789,failed,58,24827.75,25839.0,1011.25,4,4
790,failed,52,24308.75,25396.75,1088.0,3,10
791,passed,23,26564.25,26564.25,272.5,6,2
792,failed,12,23956.0,25000.0,1044.0,1,5
793,passed,49,26711.75,26711.75,843.75,3,4
794,failed,32,24210.25,25399.75,1189.5,3,7
795,failed,13,24161.75,25257.75,1096.0,3,6
796,passed,14,26839.5,26839.5,805.0,8,4
797,passed,99,26544.25,26544.25,881.0,6,5
798,passed,30,26662.5,26662.5,673.75,4,3
799,failed,5,23998.0,25000.0,1002.0,0,5
800,passed,18,26568.75,26568.75,421.5,3,1
801,failed,46,24457.0,25537.0,1080.0,3,8
802,failed,13,24106.0,25328.75,1222.75,2,4
803,failed,48,24641.25,25722.75,1081.5,3,5
804,failed,70,24920.5,26026.5,1106.0,5,5
805,failed,36,24608.25,25907.25,1299.0,5,6
806,passed,22,26837.25,26837.25,358.75,3,2
807,failed,99,25188.75,26252.0,1063.25,5,6
808,failed,36,24748.5,25865.25,1116.75,6,4
809,passed,38,27036.25,27036.25,408.5,4,3
810,passed,17,26612.25,26612.25,150.0,9,1
811,passed,20,26514.25,26514.25,794.5,3,5
812,passed,62,26720.5,26720.5,681.0,6,7
813,failed,12,24255.0,25281.5,1026.5,2,4
814,failed,6,24601.5,25709.5,1108.0,2,4
815,failed,25,24078.0,25102.5,1024.5,2,6
816,failed,43,24216.75,25306.5,1089.75,3,11
817,failed,105,25344.0,26445.0,1101.0,5,9
818,failed,61,25256.25,26421.0,1164.75,7,7
819,passed,45,26754.75,26754.75,595.25,5,6
820,passed,38,26926.75,26926.75,843.75,6,7
821,failed,11,24522.5,25547.75,1025.25,2,6
822,passed,19,26641.25,26641.25,396.5,4,2
823,passed,97,26623.0,26623.0,654.75,4,8
824,failed,9,24194.25,25199.0,1004.75,1,4
825,passed,18,26501.5,26501.5,316.75,4,3
826,passed,37,26650.5,26650.5,459.25,5,7
827,passed,33,26525.75,26525.75,396.5,5,4
828,failed,19,24537.25,25539.5,1002.25,2,7
829,passed,17,26549.5,26549.5,201.0,7,2
830,passed,60,26856.5,26856.5,547.0,8,8
831,passed,42,26853.0,26853.0,463.0,6,4
832,failed,27,24362.5,25552.5,1190.0,3,5
833,passed,80,26558.5,26558.5,707.0,5,9
834,failed,30,24133.5,25191.5,1058.0,2,7
835,failed,8,23967.5,25000.0,1032.5,1,4
836,failed,67,23912.75,25000.0,1087.25,3,6
837,failed,34,24983.25,26150.5,1167.25,3,6
838,failed,55,24858.5,26072.0,1213.5,4,6
839,passed,35,26960.75,26960.75,396.5,3,3
840,passed,72,26625.0,26625.0,407.25,8,9
841,failed,38,23946.5,25000.0,1053.5,3,4
842,failed,44,24683.75,25762.0,1078.25,2,11
843,failed,47,24116.75,25137.0,1020.25,5,7
844,failed,15,23898.5,25000.0,1101.5,1,4
845,failed,27,24769.25,25795.75,1026.5,6,4
846,failed,78,25164.25,26216.0,1051.75,4,7
847,passed,12,26944.5,26944.5,557.0,3,1
848,failed,88,25294.25,26313.5,1019.25,4,8
849,failed,11,23921.75,25000.0,1078.25,2,5
850,failed,68,25152.75,26163.0,1010.25,5,8
851,failed,59,24529.5,25666.25,1136.75,5,7
