sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
1406,failed,5,24027.5,25164.5,1137.0,1,4
1407,failed,38,23930.0,25000.0,1070.0,2,5
1408,passed,9,27777.0,27777.0,181.0,2,4
1409,passed,47,26731.0,26731.0,929.0,3,9
1410,failed,6,23920.5,25000.0,1079.5,1,3
1411,failed,56,25356.5,26407.0,1050.5,3,6
1412,failed,10,24359.0,25407.0,1048.0,1,5
1413,failed,8,24250.5,25326.0,1075.5,2,6
1414,failed,64,25150.0,26174.0,1024.0,3,4
1415,passed,34,26506.0,26506.0,329.5,2,3
1416,failed,15,24565.0,25861.0,1296.0,2,3
1417,failed,24,23959.5,25032.0,1072.5,1,7
1418,failed,23,24301.5,25309.0,1007.5,5,2
1419,passed,24,26613.5,26613.5,317.0,4,3
1420,failed,14,23921.5,25000.0,1078.5,2,5
1421,failed,56,24977.0,26086.5,1109.5,4,5
1422,passed,101,26745.0,26745.0,967.0,6,6
1423,passed,15,26750.5,26750.5,399.0,5,2
1424,failed,11,24356.5,25396.0,1039.5,3,4
1425,failed,78,24849.0,26025.0,1176.0,4,6
1426,failed,45,24616.0,25651.5,1035.5,4,7
1427,failed,14,24482.0,25534.0,1052.0,2,4
1428,passed,44,26567.0,26567.0,992.5,5,4
1429,passed,33,26908.0,26908.0,624.5,3,6
1430,passed,43,26617.0,26617.0,504.0,3,5
1431,failed,20,24161.5,25170.0,1008.5,2,7
1432,passed,72,26997.0,26997.0,916.0,4,4
1433,failed,88,25116.5,26151.5,1035.0,5,6
1434,failed,8,24313.0,25473.0,1160.0,3,4
1435,passed,39,26677.5,26677.5,570.5,7,3
1436,passed,167,26826.5,26826.5,986.5,7,6
1437,failed,9,24200.5,25230.0,1029.5,3,5
1438,passed,49,27195.5,27195.5,955.5,4,6
1439,passed,73,26562.5,26562.5,865.0,4,8
1440,failed,12,24722.5,25758.5,1036.0,2,4
1441,failed,23,24735.5,25816.5,1081.0,2,7
1442,passed,23,26536.5,26536.5,417.5,3,4
1443,failed,25,24283.5,25297.5,1014.0,6,4
1444,failed,33,24710.0,25802.0,1092.0,3,4
1445,failed,28,24173.5,25287.5,1114.0,5,3
1446,failed,39,24278.0,25391.0,1113.0,2,4
1447,failed,32,24384.5,25389.0,1004.5,3,11
1448,passed,29,26876.0,26876.0,255.0,5,2
1449,passed,7,27226.5,27226.5,45.5,6,1
1450,failed,23,25058.0,26115.5,1057.5,6,4
1451,failed,50,24743.5,25872.0,1128.5,4,8
